lat,long,pcds,ctry,ru11ind,pcode,urban
53.055285,-2.976122,LL12 7EW,W92000004,C1,LL127EW,1
51.857922,-4.3113,SA31 1RE,W92000004,C2,SA311RE,1
51.809397,-3.119723,NP7 0LU,W92000004,E1,NP70LU,0
51.694961,-4.944039,SA72 6JY,W92000004,D1,SA726JY,0
53.246445,-3.141754,CH6 9AY,W92000004,C1,CH69AY,1
53.323333,-3.829299,LL30 2NG,W92000004,C1,LL302NG,1
51.826043,-3.025803,NP7 7DW,W92000004,C1,NP77DW,1
51.947887,-4.003099,SA19 7EF,W92000004,F2,SA197EF,0
51.71897,-4.027261,SA4 8PP,W92000004,D1,SA48PP,0
51.521833,-3.710923,CF33 4DP,W92000004,C1,CF334DP,1
51.478423,-3.155085,CF24 5NE,W92000004,C1,CF245NE,1
53.313671,-3.825716,LL30 9BS,W92000004,C1,LL309BS,1
51.540108,-3.1347,CF23 8WU,W92000004,C1,CF238WU,1
52.116507,-4.652953,SA43 1PZ,W92000004,E2,SA431PZ,0
53.159516,-2.987145,CH4 0FJ,W92000004,D1,CH40FJ,0
51.71719,-4.243835,SA17 4BH,W92000004,D1,SA174BH,0
53.31721,-3.479515,LL18 4PR,W92000004,C1,LL184PR,1
53.277164,-3.209896,CH8 7AQ,W92000004,C1,CH87AQ,1
51.521353,-3.236801,CF14 7EA,W92000004,C1,CF147EA,1
51.675182,-3.162269,NP11 3BT,W92000004,C1,NP113BT,1
51.519864,-3.210615,CF4 6AG,W92000004,C1,CF46AG,1
51.465736,-3.193634,CF10 3ZW,W92000004,C1,CF103ZW,1
52.13855,-3.670254,LD5 4TN,W92000004,F2,LD54TN,0
52.934571,-4.556229,LL53 6BH,W92000004,E2,LL536BH,0
51.567267,-3.62079,CF32 0EG,W92000004,E1,CF320EG,0
52.99431,-3.507087,LL21 0PS,W92000004,E2,LL210PS,0
51.513927,-3.113701,CF3 8YB,W92000004,C1,CF38YB,1
51.408498,-3.482195,CF61 1XZ,W92000004,C1,CF611XZ,1
52.544778,-4.047321,LL35 0HN,W92000004,D2,LL350HN,0
51.645102,-3.96512,SA5 7AZ,W92000004,C1,SA57AZ,1
52.456098,-3.535189,SY18 6JQ,W92000004,D2,SY186JQ,0
51.645979,-3.009376,NP44 8HT,W92000004,C1,NP448HT,1
51.663742,-3.209676,NP12 3QU,W92000004,C1,NP123QU,1
51.798406,-3.214307,NP23 5PQ,W92000004,C1,NP235PQ,1
51.645926,-3.906443,SA1 7HT,W92000004,C1,SA17HT,1
51.612075,-3.408041,CF39 9PA,W92000004,C1,CF399PA,1
51.439487,-3.173281,CF64 5ZG,W92000004,C1,CF645ZG,1
51.521736,-3.203458,CF4 4SY,W92000004,C1,CF44SY,1
51.495004,-3.575871,CF31 3LL,W92000004,C1,CF313LL,1
51.533075,-3.674234,CF33 6FE,W92000004,C1,CF336FE,1
52.983798,-4.30817,LL54 6WH,W92000004,E2,LL546WH,0
51.640738,-2.672939,NP16 9AQ,W92000004,C1,NP169AQ,1
51.581785,-3.243839,CF83 2TJ,W92000004,C1,CF832TJ,1
51.51682,-3.155768,CF3 7PU,W92000004,C1,CF37PU,1
52.882094,-4.422561,LL53 5NY,W92000004,D2,LL535NY,0
51.518334,-3.12211,CF3 4ER,W92000004,C1,CF34ER,1
51.505361,-3.221757,CF4 2LF,W92000004,C1,CF42LF,1
51.748128,-3.283474,CF81 9PT,W92000004,D1,CF819PT,0
51.748859,-4.56597,SA33 4PQ,W92000004,E2,SA334PQ,0
51.806534,-3.823889,SA9 2WF,W92000004,E1,SA92WF,0
53.246381,-3.133405,CH6 5DL,W92000004,C1,CH65DL,1
51.687175,-3.013995,NP4 5QA,W92000004,C1,NP45QA,1
51.777062,-3.085881,NP4 9RG,W92000004,D1,NP49RG,0
51.582032,-3.106908,NP1 8UX,W92000004,F1,NP18UX,0
53.322738,-3.34281,CH8 9ND,W92000004,E1,CH89ND,0
51.725054,-4.022813,SA4 1QN,W92000004,F1,SA41QN,0
51.628428,-3.409082,CF39 0HL,W92000004,C1,CF390HL,1
53.291612,-3.819058,LL31 9TD,W92000004,C1,LL319TD,1
51.748202,-3.382357,CF47 8LW,W92000004,C1,CF478LW,1
51.835927,-3.97268,SA18 2TU,W92000004,F1,SA182TU,0
51.58176,-3.226519,CF8 3FR,W92000004,C1,CF83FR,1
51.417972,-3.246117,CF63 2AG,W92000004,C1,CF632AG,1
51.5903,-3.240477,CF83 2JH,W92000004,C1,CF832JH,1
51.578503,-3.23359,CF83 2SB,W92000004,C1,CF832SB,1
51.58864,-2.969939,NP9 8HW,W92000004,C1,NP98HW,1
51.640665,-3.236794,CF8 7EE,W92000004,C1,CF87EE,1
52.968306,-3.172662,LL20 8HH,W92000004,D1,LL208HH,0
51.612897,-3.957493,SA1 3UL,W92000004,C1,SA13UL,1
52.519126,-3.319612,SY16 2HQ,W92000004,C2,SY162HQ,1
53.071374,-4.232256,LL54 7BT,W92000004,E1,LL547BT,0
51.614422,-3.969803,SA2 0BS,W92000004,C1,SA20BS,1
51.608749,-3.036796,NP9 6BA,W92000004,C1,NP96BA,1
51.522486,-3.217892,CF4 6EA,W92000004,C1,CF46EA,1
53.045385,-3.066547,LL11 3TY,W92000004,D1,LL113TY,0
53.012884,-3.053865,LL14 1RL,W92000004,C1,LL141RL,1
51.762916,-3.382821,CF47 9BA,W92000004,C1,CF479BA,1
51.585986,-2.784943,NP26 3UG,W92000004,D1,NP263UG,0
51.671339,-4.696287,SA70 7BJ,W92000004,D2,SA707BJ,0
51.585226,-4.016753,SA3 5NU,W92000004,C1,SA35NU,1
51.686179,-3.341842,CF48 4NZ,W92000004,D1,CF484NZ,0
51.842936,-2.912586,NP7 8RL,W92000004,F1,NP78RL,0
51.523215,-3.097567,CF3 0HR,W92000004,C1,CF30HR,1
51.784543,-3.820146,SA9 2RR,W92000004,F1,SA92RR,0
51.519635,-3.119562,CF3 2WZ,W92000004,C1,CF32WZ,1
52.969382,-3.170234,LL20 8WZ,W92000004,D1,LL208WZ,0
51.530371,-3.075394,CF23 8YF,W92000004,D1,CF238YF,0
53.126217,-4.196101,LL55 4SA,W92000004,F1,LL554SA,0
53.146225,-4.127556,LL55 3LG,W92000004,D1,LL553LG,0
52.659341,-3.145848,SY15 6WT,W92000004,D2,SY156WT,0
51.496201,-3.149484,CF3 7XE,W92000004,C1,CF37XE,1
51.661654,-3.806916,SA11 3WJ,W92000004,C1,SA113WJ,1
51.704798,-2.90497,NP15 1RZ,W92000004,D1,NP151RZ,0
51.592683,-3.118954,NP10 8GZ,W92000004,F1,NP108GZ,0
51.61961,-3.1266,NP1 7PE,W92000004,C1,NP17PE,1
53.166928,-3.100404,CH7 2PD,W92000004,C1,CH72PD,1
51.466143,-3.172952,CF10 5NN,W92000004,C1,CF105NN,1
51.666081,-2.701206,NP6 6XF,W92000004,E1,NP66XF,0
52.355437,-4.025753,SY23 4AL,W92000004,E2,SY234AL,0
51.689291,-3.190826,NP12 0HF,W92000004,E1,NP120HF,0
51.44951,-3.187814,CF11 0SB,W92000004,C1,CF110SB,1
51.78631,-3.229234,NP3 6YW,W92000004,C1,NP36YW,1
51.508043,-3.22327,CF4 1NH,W92000004,C1,CF41NH,1
51.577695,-2.988466,NP9 2DS,W92000004,C1,NP92DS,1
52.919755,-3.440227,LL21 0TR,W92000004,E2,LL210TR,0
51.670496,-3.152498,NP11 4RX,W92000004,C1,NP114RX,1
52.963453,-3.867547,LL41 4RG,W92000004,E2,LL414RG,0
51.935429,-5.014149,SA62 5EE,W92000004,E2,SA625EE,0
52.559346,-3.148241,SY15 6PF,W92000004,E2,SY156PF,0
51.601238,-2.968763,NP9 7NX,W92000004,C1,NP97NX,1
52.075775,-4.170892,SA40 9UH,W92000004,E2,SA409UH,0
51.579961,-2.950357,NP19 4NY,W92000004,C1,NP194NY,1
51.659709,-3.951438,SA5 7HE,W92000004,C1,SA57HE,1
51.617016,-3.016763,NP9 6PB,W92000004,C1,NP96PB,1
51.603887,-2.974595,NP9 7LX,W92000004,C1,NP97LX,1
51.79706,-4.967091,SA61 1WB,W92000004,C1,SA611WB,1
51.584854,-2.750471,NP6 4RD,W92000004,C1,NP64RD,1
52.988596,-3.370901,LL21 9AE,W92000004,E1,LL219AE,0
51.621162,-3.457754,CF40 1BY,W92000004,C1,CF401BY,1
51.713531,-3.447898,CF44 7AA,W92000004,C1,CF447AA,1
51.925162,-4.005854,SA19 7NB,W92000004,F2,SA197NB,0
51.605868,-3.231588,CF8 3LR,W92000004,D1,CF83LR,0
51.533466,-3.199442,CF4 5JX,W92000004,C1,CF45JX,1
